"Rowid_","MASK","X","Y","SLOPE_PERCENT","COVER_FALL09","COVER_FALL11","COVER_SPRING10","COVER_SPRING11","CTI","DEM_AZ_FT","PRECIP_AVG"
,2131,328971.799031,4041939.995307,2.080518,29.000000,28.000000,28.000000,28.000000,7.184317,5483.221191,13.068905
,2132,285419.848052,4036232.442114,2.383409,21.000000,17.000000,17.000000,17.000000,8.657807,5246.416992,11.757487
,2133,316137.746370,4020324.741428,40.302585,23.000000,25.000000,20.000000,25.000000,5.067766,5618.785156,14.630716
,2134,253276.088091,4015824.468780,49.046348,27.000000,20.000000,26.000000,31.000000,8.328179,5299.726074,14.400008
,2135,284248.589237,4011735.805275,13.864155,25.000000,22.000000,24.000000,24.000000,6.268382,4281.009277,11.408667
,2136,282488.098102,4015918.438022,9.355458,33.000000,23.000000,29.000000,27.000000,7.717832,5573.103515,13.061031
,2137,309075.664347,4042162.229722,7.524965,18.000000,21.000000,18.000000,18.000000,6.997231,5805.849609,14.391739
,2138,337361.936125,4043054.646160,10.013463,26.000000,22.000000,25.000000,24.000000,5.207467,5520.343750,13.002762
,2139,262228.717249,3972960.892029,341.796783,0.000000,8.000000,25.000000,25.000000,2.929966,2880.245605,8.010240
,2140,285751.126938,3997555.752998,38.090408,22.000000,23.000000,22.000000,27.000000,3.178306,4134.371582,9.399611
,2141,273888.837468,4076288.147124,4.231526,33.000000,32.000000,32.000000,34.000000,8.371475,5836.674316,13.953157
,2142,263321.265729,4052026.157439,18.270971,30.000000,36.000000,33.000000,39.000000,8.547680,5378.805175,15.863001
,2143,284364.313999,4040795.418692,0.933655,19.000000,21.000000,18.000000,22.000000,7.579739,5244.223632,11.737802
,2144,249152.069974,4016477.771464,7.257084,28.000000,29.000000,29.000000,37.000000,7.880797,4523.609863,11.404337
,2145,242397.235088,4063340.248338,17.140823,30.000000,28.000000,25.000000,32.000000,5.075406,4564.981933,10.086226
,2146,306296.346621,4041128.986562,14.043566,14.000000,21.000000,29.000000,27.000000,6.741044,6038.496582,15.645677
,2147,259815.588254,4081041.132215,15.272553,22.000000,22.000000,23.000000,27.000000,6.925434,5478.382324,13.407487
,2148,274923.791290,4026280.632844,41.733753,26.000000,34.000000,26.000000,33.000000,3.780108,5466.337402,12.919692
,2149,259534.784337,4021780.265641,19.081190,25.000000,26.000000,26.000000,31.000000,4.562727,5908.232421,14.727566
,2150,280626.639082,3965783.327402,29.534215,24.000000,18.000000,20.000000,18.000000,5.378628,4459.162597,9.605517
,2151,292835.095042,4042156.845338,5.959105,26.000000,31.000000,31.000000,23.000000,6.419651,6414.916503,14.282685
,2152,298997.910991,4056978.765901,7.160871,17.000000,19.000000,16.000000,19.000000,5.948276,4742.157714,12.357093
